	PLAYER	2021/22 	2022/23	2023/24	2024/25
1.	Stephen Curry	$45,780,966	$48,070,014	$51,915,615	$55,761,217
2.	John Wall	$44,310,840	$47,366,760	$0	$0
2.	James Harden	$44,310,840	$47,366,760	$0	$0
4.	Russell Westbrook	$44,211,146	$47,063,478	$0	$0
5.	Kevin Durant	$42,018,900	$44,119,845	$47,649,433	$51,179,020
6.	LeBron James	$41,180,544	$44,474,988	$0	$0
7.	Paul George	$39,344,970	$42,492,568	$45,640,165	$48,787,763
8.	Kawhi Leonard	$39,344,900	$42,492,492	$45,640,084	$48,787,676
8.	Giannis Antetokounmpo	$39,344,900	$42,492,492	$45,640,084	$48,787,676
8.	Damian Lillard	$39,344,900	$42,492,492	$45,640,084	$48,787,676
11.	Klay Thompson	$37,980,720	$40,600,080	$43,219,440	$0
12.	Jimmy Butler	$36,016,200	$37,653,300	$45,183,960	$48,798,677
13.	Tobias Harris	$35,995,950	$37,633,050	$39,270,150	$0
14.	Khris Middleton	$35,500,000	$37,984,276	$40,396,552	$0
15.	Anthony Davis	$35,361,360	$37,980,720	$40,600,080	$43,219,440
16.	Rudy Gobert	$35,344,828	$38,172,414	$41,000,000	$43,827,586
17.	Kyrie Irving	$35,328,700	$36,934,550	$0	$0
18.	Kemba Walker	$34,967,442	$36,596,549	$0	$0
19.	Bradley Beal	$33,724,200	$36,422,136	$0	$0
20.	Ben Simmons	$33,003,936	$35,448,672	$37,893,408	$40,338,144
20.	Pascal Siakam	$33,003,936	$35,448,672	$37,893,408	$0
22.	Blake Griffin	$32,405,817	$0	$0	$0
23.	Karl-Anthony Towns	$31,650,600	$33,833,400	$36,016,200	$0
23.	Devin Booker	$31,650,600	$33,833,400	$36,016,200	$0
23.	Kristaps Porzingis	$31,650,600	$33,833,400	$36,016,200	$0
26.	Andrew Wiggins	$31,579,390	$33,616,770	$0	$0
26.	Joel Embiid	$31,579,390	$33,616,770	$43,732,500	$47,231,100
28.	Kevin Love	$31,258,256	$28,942,830	$0	$0
29.	Jrue Holiday	$31,171,333	$33,665,040	$36,158,747	$38,652,454
30.	Nikola Jokic	$31,044,906	$33,047,803	$0	$0
31.	CJ McCollum	$30,864,198	$33,333,333	$35,802,469	$0
32.	Chris Paul	$30,800,000	$28,400,000	$30,800,000	$30,800,000
33.	D'Angelo Russell	$30,013,500	$31,377,750	$0	$0
34.	Gordon Hayward	$29,925,000	$30,075,000	$31,500,000	$0
35.	Jamal Murray	$29,467,800	$31,650,600	$33,833,400	$36,016,200
35.	Brandon Ingram	$29,467,800	$31,650,600	$33,833,400	$36,016,200
37.	Jayson Tatum	$28,103,500	$30,351,780	$32,600,060	$34,848,340
37.	Bam Adebayo	$28,103,500	$30,351,780	$32,600,060	$34,848,340
37.	De'Aaron Fox	$28,103,500	$30,351,780	$32,600,060	$34,848,340
37.	Donovan Mitchell	$28,103,500	$30,351,780	$32,600,060	$34,848,340
41.	Al Horford	$27,000,000	$26,500,000	$0	$0
42.	Kyle Lowry	$26,984,128	$28,333,334	$29,682,540	$0
43.	Jaylen Brown	$26,758,928	$28,741,071	$30,723,214	$0
44.	DeMar DeRozan	$26,000,000	$27,300,000	$28,600,000	$0
45.	Draymond Green	$24,026,712	$25,806,468	$27,586,224	$0
46.	Nikola Vucevic	$24,000,000	$22,000,000	$0	$0
47.	Buddy Hield	$23,073,234	$21,177,750	$19,279,841	$0
48.	John Collins	$23,000,000	$23,500,000	$25,340,000	$26,580,000
49.	Malcolm Brogdon	$21,700,000	$22,600,000	$22,500,000	$22,500,000
50.	Tim Hardaway Jr	$21,306,816	$19,602,273	$17,897,728	$16,193,183
51.	Mike Conley	$21,000,000	$22,680,000	$24,360,000	$0
52.	Gary Harris	$20,932,143	$0	$0	$0
53.	Danilo Gallinari	$20,475,000	$21,450,000	$0	$0
54.	Harrison Barnes	$20,284,091	$18,352,273	$0	$0
55.	Jerami Grant	$20,002,500	$20,955,000	$0	$0
56.	Jarrett Allen	$20,000,000	$20,000,000	$20,000,000	$20,000,000
57.	Julius Randle	$19,800,000	$23,760,000	$25,660,800	$27,561,600
58.	Fred VanVleet	$19,675,926	$21,250,000	$22,824,074	$0
59.	Zach LaVine	$19,500,000	$0	$0	$0
60.	Goran Dragic	$19,348,907	$0	$0	$0
61.	Spencer Dinwiddie	$19,314,284	$20,171,427	$21,028,570	$0
62.	Bojan Bogdanovic	$18,700,000	$19,550,000	$0	$0
63.	Lonzo Ball	$18,604,651	$19,534,884	$20,465,117	$21,395,348
64.	Domantas Sabonis	$18,500,000	$18,500,000	$19,400,000	$0
65.	Eric Gordon	$18,218,818	$19,568,360	$20,917,902	$0
66.	Eric Bledsoe	$18,125,000	$19,375,000	$0	$0
67.	Bogdan Bogdanovic	$18,000,000	$18,000,000	$18,000,000	$0
67.	Myles Turner	$18,000,000	$18,000,000	$0	$0
69.	Terry Rozier	$17,905,263	$21,486,316	$23,205,221	$24,924,126
70.	Ricky Rubio	$17,800,000	$0	$0	$0
71.	Clint Capela	$17,603,448	$18,706,896	$21,116,000	$22,765,280
72.	Caris LeVert	$17,500,000	$18,796,296	$0	$0
73.	Jonathan Isaac	$17,400,000	$17,400,000	$17,400,000	$17,400,000
74.	Joe Harris	$17,357,143	$18,642,857	$19,928,571	$0
75.	Evan Fournier	$17,142,857	$18,000,000	$18,857,143	$19,000,000
76.	Steven Adams	$17,073,171	$17,926,829	$0	$0
77.	Markelle Fultz	$16,500,000	$16,500,000	$17,000,000	$0
78.	Aaron Gordon	$16,409,091	$19,690,909	$21,266,182	$22,841,455
79.	Gary Trent Jr	$16,225,000	$17,505,000	$18,785,000	$0
80.	OG Anunoby	$16,071,429	$17,357,143	$18,642,857	$19,928,571
81.	Davis Bertans	$16,000,000	$16,000,000	$17,000,000	$16,000,000
82.	Lauri Markkanen	$15,690,909	$16,475,454	$17,259,999	$18,044,544
83.	Derrick White	$15,678,571	$16,892,857	$18,107,143	$19,321,429
84.	Duncan Robinson	$15,650,000	$16,902,000	$18,154,000	$19,406,000
85.	Marcus Morris	$15,627,907	$16,372,093	$17,116,279	$0
86.	Will Barton	$15,625,000	$14,375,000	$0	$0
87.	Norman Powell	$15,517,242	$16,758,621	$18,000,000	$19,241,379
88.	Dejounte Murray	$15,428,880	$16,571,120	$17,714,000	$0
89.	Malik Beasley	$14,491,964	$15,558,035	$16,524,106	$0
90.	Marcus Smart	$14,339,285	$17,207,142	$18,583,713	$19,960,285
91.	Patrick Beverley	$14,320,987	$13,000,000	$0	$0
92.	Thaddeus Young	$14,190,000	$0	$0	$0
93.	Jonas Valanciunas	$14,000,000	$14,700,000	$15,435,000	$0
94.	Doug McDermott	$13,750,000	$13,750,000	$13,750,000	$0
95.	Christian Wood	$13,666,667	$14,317,459	$0	$0
96.	Derrick Rose	$13,445,120	$14,520,730	$15,596,339	$0
97.	Luke Kennard	$13,347,727	$13,745,455	$14,763,636	$14,763,636
98.	Taurean Prince	$13,334,375	$0	$0	$0
99.	Brook Lopez	$13,302,325	$13,906,976	$0	$0
100.	Kentavious Caldwell-Pope	$13,038,862	$14,004,703	$0	$0
101.	Joe Ingles	$13,036,364	$0	$0	$0
102.	Kyle Kuzma	$13,000,000	$13,000,000	$13,000,000	$0
103.	Robert Covington	$12,975,471	$12,307,692	$11,692,308	$0
104.	TJ Warren	$12,940,000	$0	$0	$0
105.	Deandre Ayton	$12,632,950	$16,422,835	$0	$0
106.	Terrence Ross	$12,500,000	$11,500,000	$0	$0
107.	Jordan Clarkson	$12,420,000	$13,340,000	$14,260,000	$0
108.	Dillon Brooks	$12,200,000	$11,400,000	$0	$0
109.	Kelly Olynyk	$12,195,122	$12,804,878	$12,195,122	$0
110.	Nicolas Batum	$12,026,998	$12,185,499	$0	$0
111.	Josh Hart	$12,000,000	$12,960,000	$12,960,000	$0
111.	Kelly Oubre	$12,000,000	$12,600,000	$0	$0
111.	Jusuf Nurkic	$12,000,000	$0	$0	$0
114.	Josh Richardson	$11,615,328	$12,196,094	$0	$0
115.	Marvin Bagley	$11,312,114	$14,762,308	$0	$0
116.	DeAndre Jordan	$11,109,327	$7,827,907	$0	$0
117.	Dwight Powell	$11,080,125	$11,080,125	$0	$0
118.	Devonte Graham	$11,000,000	$11,550,000	$12,100,000	$12,650,000
119.	Zion Williamson	$10,733,400	$13,534,817	$17,595,262	$0
120.	Larry Nance Jr	$10,690,909	$9,672,727	$0	$0
121.	Jeremy Lamb	$10,500,000	$0	$0	$0
122.	Reggie Jackson	$10,384,500	$11,215,260	$0	$0
122.	Richaun Holmes	$10,384,500	$11,215,260	$12,046,020	$12,876,780
124.	Al-Farouq Aminu	$10,335,621	$0	$0	$0
125.	Anthony Edwards	$10,245,480	$10,733,400	$13,534,817	$17,595,263
126.	Luka Doncic	$10,174,391	$36,600,000	$39,528,000	$42,456,000
127.	Cade Cunningham	$10,050,120	$10,552,800	$11,055,360	$13,940,809
128.	Danny Green	$10,000,000	$10,000,000	$0	$0
128.	Tomas Satoransky	$10,000,000	$0	$0	$0
130.	Tristan Thompson	$9,946,611	$0	$0	$0
131.	Kyle Anderson	$9,937,150	$0	$0	$0
132.	Derrick Favors	$9,720,900	$10,183,800	$0	$0
132.	Jae Crowder	$9,720,900	$10,183,800	$0	$0
132.	Montrezl Harrell	$9,720,900	$0	$0	$0
132.	Derrick Jones	$9,720,900	$0	$0	$0
132.	Serge Ibaka	$9,720,900	$0	$0	$0
137.	Ja Morant	$9,603,360	$12,119,440	$15,815,869	$0
138.	Reggie Bullock	$9,536,000	$10,012,800	$10,489,600	$0
138.	Alec Burks	$9,536,000	$10,012,800	$10,489,600	$0
140.	Talen Horton-Tucker	$9,500,000	$10,260,000	$11,020,000	$0
141.	Mason Plumlee	$9,248,333	$9,080,417	$0	$0
142.	Jaren Jackson Jr	$9,180,560	$28,946,605	$27,102,202	$25,257,798
143.	James Wiseman	$9,166,800	$9,603,360	$12,119,440	$15,815,870
144.	Jalen Green	$8,992,080	$9,441,840	$9,891,480	$12,483,048
145.	De'Anthony Melton	$8,805,976	$8,250,000	$8,000,000	$0
146.	Nerlens Noel	$8,800,000	$9,240,000	$9,680,000	$0
146.	Royce O'Neale	$8,800,000	$9,200,000	$9,500,000	$0
148.	Jakob Poeltl	$8,750,000	$9,398,148	$0	$0
148.	Maxi Kleber	$8,750,000	$9,000,000	$0	$0
150.	Thomas Bryant	$8,666,667	$0	$0	$0
151.	RJ Barrett	$8,623,920	$10,900,634	$14,301,632	$0
152.	Alex Caruso	$8,600,000	$9,030,000	$9,460,000	$9,890,000
153.	Delon Wright	$8,526,316	$0	$0	$0
154.	Dario Saric	$8,510,000	$9,240,000	$0	$0
155.	Monte Morris	$8,449,074	$9,125,000	$9,800,926	$0
156.	Tyus Jones	$8,376,286	$0	$0	$0
157.	Trae Young	$8,326,471	$36,600,000	$39,528,000	$42,456,000
158.	Daniel Theis	$8,280,351	$8,694,369	$9,108,386	$9,522,404
159.	LaMelo Ball	$8,231,760	$8,623,920	$10,900,635	$14,301,633
160.	Seth Curry	$8,207,518	$8,496,653	$0	$0
161.	JaMychal Green	$8,200,000	$8,200,000	$0	$0
162.	Cedi Osman	$8,133,334	$7,426,088	$6,718,842	$0
163.	Evan Mobley	$8,075,160	$8,478,720	$8,882,640	$11,227,657
164.	De'Andre Hunter	$7,775,400	$9,835,881	$12,973,527	$0
165.	DJ Augustin	$7,622,467	$333,333	$0	$0
166.	Mo Bamba	$7,568,743	$10,096,703	$0	$0
167.	Ivica Zubac	$7,518,518	$7,518,518	$0	$0
168.	TJ McConnell	$7,500,000	$8,100,000	$8,700,000	$9,300,000
168.	Rajon Rondo	$7,500,000	$0	$0	$0
170.	Patrick Williams	$7,422,000	$7,775,400	$9,835,881	$12,973,527
171.	Cory Joseph	$7,310,000	$5,155,500	$0	$0
172.	Scottie Barnes	$7,280,400	$7,644,600	$8,008,680	$10,130,980
173.	Darius Garland	$7,040,880	$8,920,794	$11,828,974	$0
174.	Chris Boucher	$7,020,000	$0	$0	$0
175.	PJ Tucker	$7,000,000	$7,350,000	$0	$0
175.	Zach Collins	$7,000,000	$7,350,000	$7,700,000	$0
177.	Wendell Carter	$6,920,027	$14,150,000	$13,050,000	$11,950,000
178.	Juan Hernangomez	$6,803,190	$7,307,130	$0	$0
179.	Isaac Okoro	$6,720,720	$7,040,880	$8,920,794	$11,828,974
180.	Jalen Suggs	$6,592,920	$6,922,320	$7,252,080	$9,188,385
181.	Cameron Payne	$6,500,000	$6,000,000	$6,500,000	$0
182.	Joakim Noah	$6,431,666	$0	$0	$0
183.	Jarrett Culver	$6,395,160	$0	$0	$0
184.	Khem Birch	$6,350,000	$6,667,500	$6,985,000	$0
185.	Collin Sexton	$6,349,671	$8,559,356	$0	$0
186.	Onyeka Okongwu	$6,104,280	$6,395,160	$8,109,063	$10,817,490
187.	Justin Holiday	$6,006,420	$6,292,440	$0	$0
188.	Josh Giddey	$5,988,000	$6,287,400	$6,587,040	$8,352,367
189.	Patrick Mills	$5,890,000	$6,184,500	$0	$0
189.	Rudy Gay	$5,890,000	$6,184,500	$6,479,000	$0
189.	Dennis Schroeder	$5,890,000	$0	$0	$0
192.	Kevin Knox	$5,845,978	$7,921,300	$0	$0
193.	Coby White	$5,837,760	$7,413,955	$9,942,113	$0
194.	Timofey Mozgov	$5,573,333	$0	$0	$0
195.	Killian Hayes	$5,572,680	$5,837,760	$7,413,955	$9,942,114
196.	Mikal Bridges	$5,557,725	$20,100,000	$21,700,000	$23,300,000
197.	Shai Gilgeous-Alexander	$5,495,532	$30,500,000	$32,940,000	$35,380,000
198.	Jonathan Kuminga	$5,466,360	$5,739,840	$6,012,840	$7,636,307
199.	Miles Bridges	$5,421,493	$7,469,530	$0	$0
200.	Jaxson Hayes	$5,348,280	$6,803,012	$9,170,460	$0
201.	Pat Connaughton	$5,333,334	$5,728,393	$0	$0
202.	Kris Dunn	$5,317,430	$0	$0	$0
203.	George Hill	$5,275,491	$4,000,000	$0	$0
204.	Michael Porter	$5,258,735	$29,750,000	$32,130,000	$34,510,000
205.	Dewayne Dedmon	$5,256,308	$2,866,667	$2,866,667	$2,866,667
206.	Ryan Anderson	$5,214,583	$0	$0	$0
207.	Hamidou Diallo	$5,200,000	$5,200,000	$0	$0
208.	Kevon Looney	$5,178,572	$0	$0	$0
209.	Troy Brown	$5,170,564	$7,228,448	$0	$0
210.	Obi Toppin	$5,105,160	$5,348,280	$6,803,012	$9,170,460
211.	Franz Wagner	$5,007,840	$5,258,280	$5,508,720	$7,007,092
212.	Josh Jackson	$5,005,350	$0	$0	$0
213.	Kendrick Nunn	$5,000,000	$5,250,000	$0	$0
213.	Louis Williams	$5,000,000	$0	$0	$0
213.	Luol Deng	$5,000,000	$0	$0	$0
213.	Robin Lopez	$5,000,000	$0	$0	$0
213.	JaVale McGee	$5,000,000	$0	$0	$0
218.	Danuel House	$4,997,424	$0	$0	$0
219.	Rui Hachimura	$4,916,160	$6,263,188	$8,486,619	$0
220.	Garrett Temple	$4,910,000	$5,155,500	$5,401,000	$0
220.	Taj Gibson	$4,910,000	$5,155,500	$0	$0
222.	Torrey Craig	$4,878,049	$5,121,951	$0	$0
223.	Bruce Brown	$4,736,102	$0	$0	$0
224.	Deni Avdija	$4,692,840	$4,916,160	$6,263,188	$8,486,619
225.	Donte DiVincenzo	$4,675,830	$6,610,599	$0	$0
226.	Cam Reddish	$4,670,160	$5,954,454	$8,109,966	$0
227.	David Nwaba	$4,650,000	$5,022,000	$5,394,000	$0
228.	Furkan Korkmaz	$4,629,630	$5,000,000	$5,370,370	$0
229.	Davion Mitchell	$4,603,200	$4,833,600	$5,063,640	$6,451,077
230.	Ishmael Smith	$4,500,000	$4,725,000	$0	$0
230.	Jeff Green	$4,500,000	$4,500,000	$0	$0
230.	Bryn Forbes	$4,500,000	$0	$0	$0
233.	Jalen Smith	$4,458,000	$0	$0	$0
234.	Lonnie Walker	$4,447,896	$6,319,683	$0	$0
235.	Cameron Johnson	$4,437,000	$5,887,899	$8,060,533	$0
236.	Ziaire Williams	$4,373,040	$4,591,680	$4,810,200	$6,133,005
237.	Bobby Portis	$4,347,600	$4,564,980	$0	$0
237.	Moe Harkless	$4,347,600	$4,564,980	$0	$0
239.	Kevin Huerter	$4,253,357	$14,508,929	$15,669,643	$16,830,357
240.	Devin Vassell	$4,235,160	$4,437,000	$5,887,899	$8,060,534
241.	Chandler Hutchison	$4,224,186	$0	$0	$0
242.	Willie Cauley-Stein	$4,220,083	$0	$0	$0
243.	PJ Washington	$4,215,120	$5,808,435	$7,992,407	$0
244.	James Bouknight	$4,154,400	$4,362,240	$4,570,080	$6,064,496
245.	Jevon Carter	$4,107,149	$3,925,000	$0	$0
246.	Josh Okogie	$4,087,904	$5,857,966	$0	$0
247.	Grayson Allen	$4,054,695	$8,500,000	$8,500,000	$0
248.	Jarred Vanderbilt	$4,050,000	$4,374,000	$4,698,000	$0
249.	Tyrese Haliburton	$4,023,600	$4,215,120	$5,808,435	$7,992,406
250.	Tyler Herro	$4,004,280	$5,722,116	$7,913,686	$0
251.	Dorian Finney-Smith	$4,000,000	$12,402,000	$13,394,160	$14,386,320
251.	Terence Davis	$4,000,000	$4,000,000	$0	$0
251.	Gorgui Dieng	$4,000,000	$0	$0	$0
254.	Aaron Holiday	$3,980,551	$5,791,701	$0	$0
255.	Josh Primo	$3,946,800	$4,144,320	$4,341,600	$5,982,725
256.	Jake Layman	$3,940,184	$0	$0	$0
257.	Anfernee Simons	$3,938,818	$5,758,551	$0	$0
258.	Justise Winslow	$3,902,439	$4,097,561	$0	$0
259.	Kira Lewis	$3,822,240	$4,004,280	$5,722,116	$7,913,686
260.	Romeo Langford	$3,804,360	$5,634,257	$7,837,251	$0
261.	Sekou Doumbouya	$3,799,131	$0	$0	$0
262.	Landry Shamet	$3,768,342	$9,500,000	$10,250,000	$11,000,000
263.	Chris Duarte	$3,749,400	$3,936,960	$4,124,400	$5,893,768
264.	Alex Len	$3,732,000	$3,918,600	$0	$0
265.	Robert Williams	$3,661,976	$10,937,502	$11,794,644	$12,651,786
266.	Aaron Nesmith	$3,631,200	$3,804,360	$5,634,257	$7,837,251
267.	Moses Moody	$3,562,200	$3,740,160	$3,918,480	$5,803,269
268.	Boban Marjanovic	$3,500,000	$3,500,000	$0	$0
268.	Mike Muscala	$3,500,000	$3,500,000	$0	$0
270.	Cole Anthony	$3,449,400	$3,613,680	$5,539,771	$7,744,600
271.	Corey Kispert	$3,383,640	$3,552,840	$3,722,040	$5,705,887
272.	Luka Samanic	$3,355,239	$0	$0	$0
273.	Georges Niang	$3,300,000	$3,465,000	$0	$0
273.	Michael Carter-Williams	$3,300,000	$0	$0	$0
275.	Isaiah Stewart	$3,277,080	$3,433,320	$5,266,713	$7,399,731
275.	Chuma Okeke	$3,277,080	$3,433,320	$5,266,712	$7,399,731
277.	Nickeil Alexander-Walker	$3,261,480	$5,009,633	$7,073,602	$0
278.	Alperen Sengun	$3,214,680	$3,375,360	$3,536,280	$5,424,654
279.	Jon Leuer	$3,169,348	$0	$0	$0
280.	Trey Burke	$3,150,000	$3,300,000	$0	$0
281.	Aleksej Pokusevski	$3,113,160	$3,261,480	$5,009,633	$7,073,602
282.	Facundo Campazzo	$3,100,000	$0	$0	$0
283.	Goga Bitadze	$3,098,400	$4,765,339	$6,762,016	$0
284.	Trey Murphy	$3,053,760	$3,206,520	$3,359,280	$5,159,854
285.	Sterling Brown	$3,000,000	$3,000,000	$0	$0
285.	Frank Jackson	$3,000,000	$3,150,000	$0	$0
287.	Josh Green	$2,957,520	$3,098,400	$4,765,339	$6,762,016
288.	Tre Mann	$2,901,240	$3,046,200	$3,191,400	$4,908,373
289.	Andrew Nicholson	$2,844,429	$2,844,429	$0	$0
290.	Matisse Thybulle	$2,840,160	$4,379,526	$6,275,861	$0
291.	Saddiq Bey	$2,824,320	$2,959,080	$4,556,983	$6,498,258
292.	Kai Jones	$2,770,560	$2,909,040	$3,047,880	$4,693,735
